,S,dS,En,En_keV,Isotope,Int,T_1/2_s,t_meas_s,t_start_meas,t_stop_meas,t_start_coll,t_stop_coll,Vl_m3,u(Vl_m3),Sf_m2,u(Sf_m2)
0,2184.6,137.4,46.4,46.54,Pb-210,0.0425,700578720,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
2,620.1,118.0,185.9,186.21,Ra-226,0.0364,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
3,1040.4,140.1,238.8,238.63,Pb-212,0.433,441806400000000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
4,709.1,103.7,295.3,295.22,Pb-214,0.18420000000000003,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
5,227.5,71.6,338.2,338.32,Ac-228,0.113,441806400000000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
6,915.2,81.8,351.8,351.93,Pb-214,0.35600000000000004,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
7,70986.9,272.8,477.6,477.61,Be-7,0.10439999999999999,4598208,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
8,1361.6,61.1,511.2,510.77,Tl-208,0.226,441806400000000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
9,327.1,38.0,582.8,583.19,Tl-208,0.85,441806400000000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
11,770.5,40.7,609.3,609.32,Bi-214,0.4549,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
12,111.1,26.8,662.1,661.66,Cs-137,0.851,949252608,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
13,63.4,24.3,671.4,671.4,Nieznany,1.0,1,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
14,110.0,26.2,768.6,768.36,Bi-214,0.048,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
15,114.3,26.9,911.0,911.2,Ac-228,0.258,441806400000000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
17,64.0,24.6,934.5,934.06,Bi-214,0.030299999999999997,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
18,91.5,24.9,962.5,964.08,Bi-214,0.0038,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
19,71.0,22.7,969.6,968.97,Ac-228,0.162,441806400000000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
20,129.6,21.8,1120.5,1120.29,Bi-214,0.1492,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
21,67.2,18.3,1237.0,1238.1,Bi-214,0.058600000000000006,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
22,114.5,22.2,1273.5,1274.0,Na-22,0.9994,82106564,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
23,54.3,16.9,1378.6,1377.7,Bi-214,0.0392,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
24,711.3,30.4,1460.9,1460.83,K-40,0.1066,39383884800000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
25,125.7,16.2,1765.3,1764.5,Bi-214,0.1536,50492160000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
26,154.1,15.0,2614.2,2614.5,Tl-208,0.9915999999999999,441806400000000000,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
27,18.1,5.8,2764.0,2764.0,Nieznany,1.0,1,244463,2021-11-05,2021-11-08,2021-08-30,2021-10-04,0.1743,0.008715,2.28,0.114
