,Isotope,Int,T_1/2_day,u(T_1/2_day),En_keV,En,S,dS,A0_kBq,u(A0_kBq),An_kBq,u(An_kBq),Eff,u(Eff),t_meas_s,Date_meas,Date_ref
0,Am241,0.3592,158007.15,219.15,59.5,60.1,180696.6,787.1,5.44,0.16,5.4381627637772025,0.15994596366079725,0.039097294965265796,0.001162463208458375,2366,2021-04-09,2021-01-22
1,Cd109,0.0366,461.9,0.4,88.0,88.6,108364.1,666.0,18.53,0.56,16.507940366451493,0.49889353908222905,0.07580480088671822,0.002337822273960084,2366,2021-04-09,2021-01-22
2,Co57,0.8549,271.81,0.04,122.1,122.3,88994.0,600.3,0.689,0.021,0.5661631549825265,0.01725606908284095,0.0777121755633391,0.002425899717318395,2366,2021-04-09,2021-01-22
3,Co57,0.10710000000000001,271.81,0.04,136.5,136.5,8215.0,350.0,0.689,0.021,0.5661631549825265,0.01725606908284095,0.057261372562863,0.0029996176296270293,2366,2021-04-09,2021-01-22
4,Sn113,0.021099999999999997,115.09,0.03,255.1,255.0,2783.5,271.5,2.73,0.08,1.716963454004639,0.050314375451530245,0.03247379007341404,0.0033073261199749204,2366,2021-04-09,2021-01-22
5,Cr51,0.0989,27.7,0.0,320.1,320.0,21116.0,405.2,18.22,0.55,2.6530790470554555,0.08008745751265098,0.03401343017264427,0.001216643926075571,2366,2021-04-09,2021-01-22
6,Sn113,0.6496999999999999,115.09,0.03,391.7,391.5,68260.9,495.8,2.73,0.08,1.716963454004639,0.050314375451530245,0.025863265123594895,0.0007808378033363219,2366,2021-04-09,2021-01-22
7,Sr85,0.985,64.85,0.01,514.0,513.6,78443.3,501.3,3.62,0.11,1.589567478800414,0.04830219548272843,0.02117512174000966,0.0006575241516560415,2366,2021-04-09,2021-01-22
8,Cs137,0.8499,10975.76,29.22,661.7,661.3,120076.7,547.5,4.31,0.13,4.2890924400679955,0.12936938945846765,0.013922292954201849,0.00042470094349350356,2366,2021-04-09,2021-01-22
9,Mn54,0.9998,312.19,0.03,834.8,834.1,100051.0,447.5,4.75,0.14,4.00355837488192,0.11799963359044481,0.010564462254914796,0.0003149385706742457,2366,2021-04-09,2021-01-22
10,Y88,0.937,106.63,0.05,898.0,897.6,118171.9,479.2,9.28,0.28,5.625578943052716,0.16974243110821377,0.009475293334129838,0.000288471497715982,2366,2021-04-09,2021-01-22
11,Zn65,0.5022,244.01,0.09,1115.5,1114.7,67391.0,349.0,8.89,0.27,7.143457798299946,0.21695617662190336,0.007939661165260766,0.00024461834393460713,2366,2021-04-09,2021-01-22
12,Co60,0.9984999999999999,1925.27,0.29,1173.2,1171.9,89320.0,374.2,5.59,0.17,5.437162297205009,0.16535198555242822,0.0069536625008862095,0.00021346810469284144,2366,2021-04-09,2021-01-22
13,Co60,0.9998,1925.27,0.29,1332.5,1331.1,73751.6,337.6,5.59,0.17,5.437162297205009,0.16535198555242822,0.005734179411984152,0.00017634909287396808,2366,2021-04-09,2021-01-22
14,Y88,0.9934999999999999,106.63,0.05,1836.1,1833.7,54797.4,270.9,9.28,0.28,5.625578943052716,0.16974243110821377,0.004143908120442018,0.00012670262296885743,2366,2021-04-09,2021-01-22
